url;name;country;price;color;taste;yearPos;usdPrice;colorFac
http://winestyle.ru/products/Piper-Heidsieck-Cuve-Brut-375.html;Piper Heidsieck Brut, 375 ìë;France;2750;not assigned;not assigned;NA;38;not assigned
http://winestyle.ru/products/Valdo-Cuvee-Viviana-Valdobbiadene-Superiore-di-Cartizze-DOCG.html;Valdo, "Cuvee Viviana" Valdobbiadene Superiore di Cartizze DOCG;Italy;2653;white;dry;NA;37;white
http://winestyle.ru/products/Ferrari-Demi-Sec-Trento-DOC.html;Ferrari Demi Sec, Trento DOC;Italy;2737;white;semi dry;NA;38;white
http://winestyle.ru/products/Serafini-Vidotto-Bollicine-di-Prosecco-DOCG-Asolo.html;Serafini & Vidotto, Bollicine di Prosecco DOCG "Asolo";Italy;2996;white;dry;NA;42;white
http://winestyle.ru/products/Giuseppe-Contratto-Millesimato-Brut-2010-gift-box.html;Giuseppe Contratto, "Millesimato" Brut, 2010, gift box;Italy;3192;white;dry;2010;44;white
http://winestyle.ru/products/Chanoine-Demi-Sec.html;Chanoine, Demi-Sec;France;3294;white;semi dry;NA;46;white
http://winestyle.ru/products/Nino-Franco-Superiore-di-Cartizze-Valdobbiadene-DOCG-2012.html;Nino Franco, "Superiore di Cartizze", Valdobbiadene DOCG, 2012;Italy;3556;white;dry;2012;49;white
http://winestyle.ru/products/Fontanafredda-Asti-DOCG-1500.html;Fontanafredda, Asti DOCG, 1500 ìë;Italy;3582;white;sweet;NA;50;white
http://winestyle.ru/products/Ferghettina-Franciacorta-Rose-Brut-DOCG-2010.html;Ferghettina, Franciacorta Rose Brut DOCG, 2010;Italy;3695;rose;dry;2010;51;rose
http://winestyle.ru/products/Cattier-Glamour-Rose-Champagne-AOC.html;Cattier, "Glamour" Rose, Champagne AOC;France;3780;rose;dry;NA;52;rose
http://winestyle.ru/products/Recaredo-Brut-De-Brut-Gran-Reserva-Brut-Nature-Cava-DO-2004.html;Recaredo, Brut De Brut Gran Reserva Brut Nature, Cava DO, 2004;Spain;4052;white;dry;2004;56;white
http://winestyle.ru/products/Champagne-Georges-Cartier-Selection-Brut-gift-box.html;Champagne Georges Cartier, Selection Brut, gift box;France;4130;white;dry;NA;57;white
http://winestyle.ru/products/Brut-Grand-Rose.html;Brut Grand Rose, 375 ìë;France;4195;rose;dry;NA;58;rose
